TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_UF_PROVA;SG_UF_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO
2;F;0;4;1;2;0;4;1;0;15;PA;534.2;611.4;517.9;496.3;360
3;F;0;4;1;1;1;1;1;0;15;PA;506.9;477.8;495.3;440.6;420
3;M;0;0;1;2;0;2;1;0;31;MG;470.6;473.8;534.4;410.4;600
2;F;0;3;1;2;0;4;1;0;15;PA;588.9;663.3;614.5;711.5;800
11;F;0;5;1;1;6;1;1;0;26;PE;477.8;621.5;519.4;543.1;500
2;F;0;3;1;2;0;2;1;0;31;MG;415.9;485.6;512.5;534.9;540
13;F;1;1;1;1;12;1;1;0;33;RJ;518.5;595.7;454;406.4;340
12;F;0;1;1;1;12;1;1;0;42;SC;601.7;675.5;631.3;524.8;720
4;F;0;3;1;1;2;1;1;0;31;MG;577.5;557.9;464.5;535.1;680
12;M;0;1;1;1;3;1;;0;33;RJ;494.8;539.6;527.3;601.4;580
3;M;0;1;1;1;1;1;;0;23;CE;;;;;
2;F;0;0;1;2;0;2;1;0;29;BA;531.8;613.7;575;481.6;680
4;F;;3;1;2;0;2;3;0;53;DF;;;;;
2;F;0;3;1;2;0;2;1;0;15;PA;489.6;495.7;509.3;586.5;580
7;F;0;3;1;1;4;1;1;0;53;DF;469.4;515.2;437;395.3;340
4;F;1;1;1;1;2;1;1;0;35;SP;504.5;597.4;569.5;518.6;580
3;F;0;4;1;2;0;2;1;0;28;SE;500.5;436.7;473.9;493.7;580
12;F;1;1;1;1;12;1;1;0;52;GO;497.2;615.3;566.1;444.9;500
6;F;0;3;1;1;4;1;;0;21;MA;384.4;511.6;556;422.4;540
3;M;0;3;1;2;0;2;1;0;33;RJ;562.5;580.4;530.5;383.4;580
12;F;1;3;1;1;12;1;1;0;26;PE;;;;;
4;F;0;3;1;1;1;1;;0;35;SP;409.3;481.8;456.7;438;280
3;F;0;1;1;1;1;1;;0;35;SP;;633.4;617.2;;780
3;F;0;1;1;1;1;1;1;0;26;PE;;;;;
8;F;0;3;1;1;5;1;1;0;25;PB;428.3;591.9;478.8;393.3;380
10;F;0;2;1;4;0;1;;0;23;CE;;;;;
5;F;0;3;1;1;1;1;;0;32;ES;506.2;634.5;488.7;489.3;740
11;M;0;1;1;1;9;1;1;0;35;SP;567.9;655.7;599.3;467.8;520
9;F;;3;1;1;3;1;3;0;31;MG;388.9;420.2;432.6;395.8;320
4;M;0;2;1;1;1;1;1;0;52;GO;428.5;507.4;467.1;690.3;620
7;F;0;2;1;1;3;1;3;0;31;MG;506.1;555.8;527.7;426.1;400
11;F;0;3;1;3;0;1;;0;31;MG;;;;;
4;F;0;4;1;2;0;2;1;0;29;BA;365.2;415.8;518.2;447.8;360
2;F;0;3;1;2;0;2;1;0;15;PA;454.8;584.4;474.9;523.5;680
5;M;0;1;1;1;3;1;;0;33;RJ;;;;;
11;F;0;1;1;1;6;1;3;0;32;ES;410.7;529;496.6;417.1;340
3;F;0;3;1;1;1;1;1;0;28;SE;397.1;535.9;540.8;443.3;540
2;F;0;3;1;2;0;2;1;0;15;PA;421.5;596.6;526.8;491.9;640
6;F;0;1;1;1;1;1;;0;29;BA;390.7;542.6;538.1;406.7;360
3;F;0;3;1;1;1;1;1;0;29;BA;538.1;640.1;605.7;665.5;700
13;M;1;3;1;1;12;1;1;0;35;SP;459;596.1;370.8;499.6;480
4;F;0;2;1;1;1;1;;0;31;MG;436;538.9;446.5;451.2;360
4;F;0;3;1;1;2;1;1;0;17;TO;608.5;670.6;595.3;556.2;940
4;F;0;3;1;1;1;1;;0;42;SC;;443.7;457.9;;360
15;F;1;1;1;1;5;1;3;0;35;SP;;;;;
3;F;0;3;1;1;1;1;1;0;31;MG;433.7;577.1;432.8;391.4;320
3;F;0;1;1;2;0;2;1;0;43;RS;558.6;647.2;634.6;551;660
15;F;1;3;1;1;12;1;1;0;31;MG;417.9;628.5;502.5;520.9;740
12;M;1;2;1;1;10;1;1;0;32;ES;419.8;427.9;540.5;537.2;360
8;M;0;3;1;1;5;1;;0;31;MG;447.9;624.9;556.5;535.1;500
13;F;1;2;1;1;12;1;1;0;24;RN;502.1;595.5;523.4;381;300
1;F;0;3;1;2;0;4;1;0;35;SP;723.3;719.1;622.9;764.5;700
6;F;0;3;1;1;3;1;;0;17;TO;636.7;716.8;705.3;705.4;860
4;M;0;1;1;2;0;1;1;0;43;RS;613.4;617;599.3;720.1;820
10;M;0;3;1;1;9;1;1;0;15;PA;591.6;691.5;620.7;711.9;360
4;F;0;3;1;1;1;1;1;0;35;SP;524.8;632.3;602.5;633.6;740
3;F;0;1;1;1;1;1;1;0;33;RJ;468.1;662.5;608.9;475.8;600
4;F;0;1;1;2;0;2;1;0;33;RJ;417.2;516.4;463.3;588;580
3;F;0;3;1;2;0;4;1;0;51;MT;541.2;636.4;544.5;466.3;540
2;F;0;3;1;2;0;2;3;0;15;PA;;494.8;470.7;;360
2;M;0;3;1;2;0;2;1;0;23;CE;542.6;575.7;552.1;478.4;760
5;F;0;4;1;1;2;1;1;0;15;PA;493.7;613.3;530.9;485.5;720
6;F;0;1;1;1;2;1;1;0;31;MG;559.1;606.8;512.1;539.2;380
6;F;0;3;1;1;3;1;;0;31;MG;;;;;
11;F;0;3;1;1;3;1;1;0;31;MG;;;;;
6;F;0;1;1;1;4;1;1;0;43;RS;556.6;630.1;604.2;716.6;740
3;F;0;4;1;1;1;1;1;0;31;MG;;;;;
3;F;0;3;1;1;1;1;1;0;23;CE;562.7;508.6;483.7;508;560
3;F;0;3;1;2;0;2;1;0;23;CE;442.3;437.3;457.4;393.5;340
4;M;0;1;1;1;1;1;1;0;52;GO;470.2;635.1;588.6;527.7;820
3;F;0;1;1;2;0;2;1;0;42;SC;409.9;599.3;487.8;611;500
11;M;0;3;1;2;0;2;3;0;31;MG;523.6;644;559.3;532.3;520
10;F;0;3;1;1;7;1;1;0;50;MS;439.4;494.7;580.4;460.7;300
1;F;0;2;1;3;0;1;;1;35;SP;440.3;654.9;585;570.2;560
13;M;0;2;1;1;6;1;1;0;22;PI;466.1;;;583.9;
6;M;0;2;1;1;3;1;;0;29;BA;;;;;
4;F;0;3;1;1;2;1;1;0;31;MG;493.3;678.8;635.6;650;880
2;F;0;3;1;2;0;2;1;0;23;CE;385.9;523.3;426.1;454.9;340
3;F;0;3;1;1;1;1;1;0;15;PA;382.9;556.3;449.6;493.6;580
9;F;0;4;1;1;6;1;1;0;29;BA;426.5;445;388.7;434.2;280
5;M;0;3;1;1;3;1;1;0;32;ES;;;;;
3;M;0;2;1;2;0;1;1;0;21;MA;534.4;532;519.1;504.6;280
2;F;0;0;1;3;0;1;;1;41;PR;;482.5;511.2;;680
3;F;0;0;1;2;0;2;1;0;26;PE;413.1;581.3;530.5;440.4;320
6;M;0;1;1;1;2;1;1;0;32;ES;552.3;645.7;580.9;618.5;780
7;F;0;1;1;1;1;1;;0;43;RS;;616.6;527.2;;300
5;M;0;3;1;1;3;1;;0;43;RS;409.9;593.5;493;515.3;320
6;F;0;3;1;1;3;1;1;0;35;SP;;;;;
5;F;0;1;2;1;2;1;1;0;31;MG;585.4;618.1;588.5;595;700
12;F;0;3;1;1;12;1;1;0;26;PE;;;;;
3;F;0;1;1;2;0;2;1;0;35;SP;;;;;
11;M;0;3;1;1;3;1;3;0;31;MG;519.2;450.5;561.8;511.7;480
7;M;0;2;1;1;4;1;;0;29;BA;381.3;523.4;532.1;392;0
2;F;0;1;1;2;0;4;1;0;23;CE;702.4;692.6;619;816.3;960
2;F;0;1;1;2;0;2;1;0;43;RS;507.3;531.9;572.4;567.8;720
13;F;1;3;1;1;12;1;3;0;35;SP;413.2;504.6;445.2;387.6;300
5;F;0;1;1;1;2;1;1;0;43;RS;431.3;588.9;635.9;485.6;520
3;F;0;3;1;1;1;1;;0;29;BA;499.7;659.5;554.7;499.3;420
9;M;0;3;1;1;0;1;;0;15;PA;462.2;451.3;491.1;489;0
4;F;0;3;1;1;2;1;1;0;50;MS;561.9;513.4;548;532.7;320
3;F;0;3;1;1;1;1;1;0;22;PI;532.6;595;553.7;577.3;660
5;F;1;1;1;1;2;1;1;0;35;SP;;;;;
1;M;0;1;1;3;0;1;;1;33;RJ;712.1;690.6;644.9;818.4;900
7;F;0;3;1;1;1;1;1;0;28;SE;454.5;572.6;497.5;559.5;320
8;M;0;1;1;1;5;1;1;0;35;SP;430.6;538.1;468.5;560.3;480
5;M;0;3;1;2;0;2;1;0;15;PA;472.6;524.5;539.5;438.7;620
6;F;0;1;1;1;3;1;1;0;21;MA;434.1;508.2;439.9;525.7;460
18;M;3;2;1;1;12;1;1;0;25;PB;420.7;489.6;437.2;377.6;220
3;M;0;3;1;3;0;1;;0;51;MT;;;;;
2;F;0;3;1;3;0;1;;1;31;MG;473;423;477.2;434.1;320
12;F;0;2;1;1;12;1;1;0;31;MG;;466.4;501.4;;340
2;M;0;3;1;2;0;2;1;0;33;RJ;564.5;655.6;592.2;626.2;920
4;M;0;3;1;1;0;1;;0;35;SP;475.2;435;426.9;394.9;260
3;M;0;3;1;1;1;1;;0;15;PA;453.4;583.9;519.3;636.7;760
1;M;0;3;1;2;0;2;1;0;27;AL;441.6;629.7;533.9;559.7;680
7;F;0;1;1;1;6;1;;0;35;SP;417.8;600.1;532.2;488.8;580
9;M;0;2;1;1;6;1;1;0;33;RJ;;430.9;479;;360
6;F;0;3;1;1;4;1;1;0;11;RO;431.6;539.8;498.7;423.6;560
4;M;0;4;1;1;1;1;1;0;52;GO;497.7;634.6;641.7;594.9;720
5;F;0;3;1;1;1;1;3;0;24;RN;368.6;510.9;504.8;478.3;500
8;M;;3;1;1;3;1;1;0;31;MG;512.9;556.3;581.5;606.9;360
12;F;0;1;1;1;12;1;1;0;15;PA;494.3;600.5;424.5;516.8;460
11;M;0;1;1;1;10;1;1;0;24;RN;;;;;
12;F;0;3;1;2;0;2;3;0;31;MG;;;;;
13;F;1;1;1;1;12;1;1;0;26;PE;404;466.8;401.9;421.3;240
8;F;0;3;1;1;6;1;;0;35;SP;549.9;617.8;559.1;594;640
8;F;;3;1;1;5;1;;0;23;CE;;;;;
13;M;1;1;1;1;0;1;;0;35;SP;457.4;624.2;568.2;469.9;440
8;F;0;1;1;1;6;1;;0;35;SP;464.6;618.9;568.5;497.4;660
2;F;0;1;1;2;0;2;1;0;43;RS;448.3;402.9;408.3;412.2;300
6;M;0;3;1;2;0;2;3;0;21;MA;404.6;507;366.8;414.4;560
2;M;0;3;1;2;0;2;1;0;23;CE;560.7;685.9;629.9;592.2;860
2;M;0;3;1;2;0;2;1;0;29;BA;544.5;611.3;487.8;600.1;560
6;F;0;2;1;1;4;1;1;0;33;RJ;;;;;
5;M;0;3;1;1;1;1;;0;17;TO;467.6;475.2;483.4;444.1;380
9;F;0;3;1;1;5;1;1;0;27;AL;;;;;
3;F;0;3;1;1;1;1;1;0;33;RJ;393.2;517.4;464.3;433.3;240
3;F;0;1;1;2;0;2;1;0;41;PR;461;587.8;506;487.8;320
5;M;0;3;1;1;3;1;1;0;15;PA;557.9;625.6;569.8;674.6;360
2;F;0;3;1;3;0;1;;1;21;MA;472.9;484.4;510;413.6;0
4;F;0;1;1;1;1;1;1;0;43;RS;533;599.3;583.6;615.5;900
7;F;0;3;1;1;5;1;1;0;15;PA;;;;;
7;F;0;3;1;1;5;1;1;0;13;AM;406.8;591.2;549.4;490;520
3;F;0;3;1;1;1;1;1;0;23;CE;;;;;
2;F;0;3;1;2;0;2;1;0;35;SP;560.7;609.5;580.5;536;560
2;M;0;1;1;3;0;1;;1;43;RS;407.8;520.9;470.1;568.2;580
11;M;0;5;1;1;8;1;1;0;13;AM;;;;;
5;F;0;3;1;1;2;1;;0;31;MG;549.5;687;626.1;734.7;600
14;F;2;3;1;1;12;1;1;0;51;MT;;460.6;487.3;;360
6;F;0;3;1;2;0;2;3;0;26;PE;;;;;
3;F;0;3;2;3;0;1;;0;25;PB;440.7;558.5;477;409.6;280
4;F;0;3;1;1;1;1;1;0;31;MG;;;;;
5;F;0;3;1;1;3;1;1;0;13;AM;;;;;
10;M;0;3;1;1;5;1;1;0;31;MG;;;;;
3;F;0;3;1;2;0;1;1;0;50;MS;432.1;609.2;552.5;548.6;0
2;F;0;4;1;2;0;1;1;0;29;BA;433.7;537.4;523.6;434.7;400
2;F;0;3;1;2;0;4;1;0;26;PE;569.4;661.2;626.7;689.4;400
4;F;0;3;1;1;2;1;1;0;23;CE;;;;;
14;F;0;3;1;1;2;1;3;0;23;CE;485.5;463.4;494.3;481.1;520
9;F;0;3;1;1;6;1;1;0;15;PA;441.9;534.9;504.5;561.7;560
14;M;1;3;1;1;12;1;1;0;31;MG;637.6;593.4;519.8;710.2;320
4;M;0;3;1;1;0;1;;0;21;MA;584.3;653.1;564.8;659.7;760
4;F;0;2;1;2;0;2;1;0;42;SC;384.1;457.9;503.4;489;240
11;M;1;3;1;1;1;1;3;0;25;PB;;;;;
3;F;0;1;1;2;0;2;1;0;29;BA;496.5;599.9;508.4;575.2;520
14;F;2;3;1;1;2;1;;0;53;DF;;;;;
1;M;0;1;1;3;0;1;;1;12;AC;509.9;531.2;531.1;670.6;400
14;M;2;3;1;1;12;1;;0;33;RJ;;;;;
2;F;0;3;1;2;0;2;1;0;35;SP;431.6;566.5;608.1;385.6;480
1;M;0;3;1;2;0;2;1;0;42;SC;567;643.6;573;661.7;720
1;F;0;3;1;3;0;1;;1;15;PA;458.3;661.7;590.4;515.6;640
6;F;0;1;1;1;4;1;;0;13;AM;542.3;495.1;472.3;424;580
12;M;0;3;1;1;7;1;1;0;23;CE;;;;;
14;M;1;3;1;1;11;1;3;0;13;AM;;;;;
11;F;0;1;1;1;9;1;1;0;35;SP;;;;;
3;M;0;2;1;1;1;1;1;0;29;BA;459.1;551.7;499.5;489.4;300
2;M;0;3;1;2;0;2;1;0;35;SP;;;;;
11;M;;3;1;1;12;1;;0;29;BA;654.2;717.8;665.1;765.9;720
4;M;0;2;1;2;0;1;1;0;29;BA;583.9;646.2;579.6;679.2;840
7;M;0;3;1;1;4;1;1;0;23;CE;560.4;624.5;531.7;590.1;600
12;M;0;3;1;1;12;1;1;0;26;PE;;;;;
10;F;0;3;1;1;6;1;1;0;15;PA;;;;;
2;M;0;1;1;2;0;4;1;0;15;PA;495.9;641.8;582.3;530.2;680
13;F;0;3;1;1;12;1;;0;51;MT;456.6;580.4;501.7;483.8;460
6;F;0;1;1;1;4;1;;0;50;MS;506;634.9;598.6;643.6;620
2;F;0;1;1;2;0;2;1;0;35;SP;535.5;653.4;613;522.1;700
11;F;0;3;1;1;6;1;;0;24;RN;390.8;445.6;409.9;553;400
2;M;0;1;1;2;0;2;1;0;35;SP;579.8;430.9;498.6;498.5;500
3;M;0;1;1;2;0;2;1;0;35;SP;578.4;689.7;675.9;729.8;760
8;M;0;1;1;1;1;1;3;0;23;CE;429.2;594;575.1;514.7;320
4;F;0;3;1;1;2;1;1;0;29;BA;431.3;500.6;405.1;519.2;320
3;F;0;1;1;2;0;2;1;0;31;MG;503.3;630.5;577;479.7;720
2;F;0;3;1;2;0;2;1;0;33;RJ;;;;;
8;F;1;3;1;1;1;1;;0;35;SP;514.5;551.9;542.1;484.5;460
4;F;0;2;1;1;2;1;1;0;33;RJ;;;;;
2;F;0;3;1;2;0;2;1;0;15;PA;;;;;
3;M;0;1;1;2;0;2;1;0;29;BA;418.1;445.9;501.8;430.9;520
6;M;0;3;1;1;3;1;;0;24;RN;425.8;576;539.2;481.7;480
9;F;0;3;1;1;7;1;1;0;25;PB;509.8;413.9;497.2;556;340
13;F;0;1;1;1;12;1;1;0;35;SP;551.6;626.4;466.7;464.7;320
5;F;0;3;1;1;1;1;;0;33;RJ;466;640.1;552.9;569.9;540
4;M;0;2;1;2;0;2;1;0;12;AC;401.2;524.1;493.7;393.2;640
4;M;0;1;1;1;2;1;1;0;21;MA;534.4;497.7;585;468.3;660
11;M;0;1;1;1;7;1;1;0;51;MT;477.5;606.1;534.4;588.1;280
4;M;0;2;1;1;1;1;1;0;31;MG;473;503.1;500.9;446.5;560
4;M;0;1;1;1;1;1;;0;33;RJ;621.9;665.7;570.6;750.6;880
4;M;0;3;1;1;1;1;3;0;17;TO;479.3;460.9;539.5;454.5;560
4;F;0;3;1;1;2;1;1;0;31;MG;603.4;669.5;568.6;590.7;920
4;M;0;1;1;1;2;1;;0;35;SP;638;722.2;619.2;751.5;740
10;F;0;0;1;1;6;1;3;0;26;PE;399.7;478;496.8;607.9;300
4;F;0;2;1;1;2;1;1;0;32;ES;396.1;597.8;546.5;733.7;640
5;F;0;2;1;2;0;2;1;0;29;BA;393.1;443.1;405.8;560.7;540
7;M;0;3;1;1;3;1;3;0;43;RS;587;663.4;671.5;709;800
5;M;0;3;1;1;2;1;1;0;29;BA;433.5;397.8;434.2;429.7;320
10;M;0;3;1;1;7;1;1;0;23;CE;;;;;
5;M;0;3;1;1;4;1;1;0;29;BA;466;631.2;578.1;696.4;560
7;F;0;3;1;1;6;1;1;0;15;PA;538.8;637.7;622.8;528.7;580
3;F;0;3;1;2;0;2;1;0;35;SP;;611.5;568.7;;440
3;F;0;3;1;1;1;1;1;0;26;PE;393.8;437.2;493.8;519.2;340
3;M;0;3;1;1;1;1;;0;22;PI;569;632.8;574.8;754.5;600
1;F;0;1;1;3;0;1;;1;33;RJ;586.1;642.9;596.3;692.6;640
6;M;0;2;1;1;4;1;1;0;53;DF;;;;;
7;F;0;3;1;1;3;1;1;0;31;MG;611.7;694.3;631.2;659.4;780
12;F;0;4;1;1;12;1;1;0;31;MG;;;;;
2;M;0;3;1;2;0;2;1;0;31;MG;;;;;
3;F;0;1;1;2;0;2;1;0;50;MS;435.1;481.5;526.9;447.5;360
17;F;0;1;1;1;12;1;;0;31;MG;;681.5;580.8;;480
2;F;0;2;1;2;0;2;1;0;29;BA;513.6;616.7;586.6;549.1;560
8;M;0;3;1;1;3;1;;0;24;RN;413;508.7;513.5;514.2;580
7;M;1;3;1;1;5;1;1;0;35;SP;;;;;
5;F;0;3;1;1;4;1;1;0;13;AM;371.2;600.6;483.7;532.1;540
6;F;0;1;1;1;4;1;1;0;22;PI;523.9;650.6;551.9;564.2;520
6;F;1;1;1;1;2;1;1;0;52;GO;405.4;579.6;494.8;421.7;380
3;F;0;3;1;2;0;1;1;0;29;BA;391;469.7;556.7;502.3;520
7;F;0;2;1;1;4;1;1;0;35;SP;;;;;
10;M;0;3;1;1;6;1;1;0;23;CE;526.7;549;493;647.8;760
1;M;0;1;1;3;0;1;;1;35;SP;399.5;623.2;633.7;409.5;540
10;F;0;0;1;1;4;1;1;0;29;BA;496.2;637.6;531.4;566.5;580
11;M;0;2;1;1;5;1;1;0;23;CE;;599.1;465.2;;340
9;M;0;3;1;1;7;1;1;0;23;CE;439.2;637.3;597.7;696.5;380
2;F;0;3;1;2;0;2;1;0;35;SP;410.9;405.6;429.5;378.7;600
11;F;0;3;1;1;8;1;1;0;31;MG;511;579.3;478.6;510.1;340
3;F;0;3;1;1;1;1;;0;21;MA;408.1;467;366.3;481.3;360
7;F;0;1;1;1;5;1;;0;35;SP;571;623;605.9;664.8;420
3;F;0;3;1;2;0;3;1;0;35;SP;391.8;528.3;535.3;407.5;380
7;F;0;3;1;1;2;1;1;0;29;BA;;;;;
3;F;0;1;1;2;0;2;1;0;42;SC;415.7;421;513.5;370.6;360
3;F;0;3;1;1;1;1;1;0;25;PB;569.8;677.5;538.1;481.7;840
4;M;0;3;1;1;1;1;1;0;13;AM;432.8;500.8;491.8;534.6;420
3;F;0;1;1;2;0;2;1;0;51;MT;426.3;473.2;427.8;442.2;360
7;M;0;2;1;1;3;1;1;0;33;RJ;521;632.9;560.2;522.2;520
4;F;0;3;1;1;1;1;;0;31;MG;469.5;519.1;479.5;413;320
12;F;0;1;1;1;3;1;3;0;43;RS;;;;;
10;F;0;1;1;1;4;1;1;0;43;RS;;;;;
11;F;0;1;1;1;9;1;1;0;31;MG;502.8;558.7;544.5;535.4;540
1;M;0;1;1;2;0;2;1;0;42;SC;;483.7;408.2;;600
2;F;0;2;1;2;0;2;1;0;25;PB;395.1;590;568.2;591.4;900
11;F;;3;1;1;10;1;1;0;29;BA;445.8;611.4;599.9;509.9;500
2;M;0;1;1;2;0;4;2;0;50;MS;407.4;509.6;550.8;546.9;820
11;F;0;3;1;1;9;1;;0;16;AP;502.2;657.7;620.3;541.3;840
3;F;0;3;1;1;1;1;1;0;35;SP;658;694.2;643.2;729.2;860
3;F;0;1;1;4;0;1;;0;31;MG;545.6;485.6;517;400.3;520
6;F;0;1;4;1;4;1;1;0;35;SP;;;;;
1;F;0;1;1;3;0;1;;1;31;MG;548.1;566.3;480;432.3;320
3;F;0;1;1;2;0;2;1;0;35;SP;433;515.6;435.8;598.2;420
2;F;0;1;1;2;0;4;1;0;27;AL;602.3;573.8;507;542.2;760
3;M;0;1;1;2;0;1;1;0;31;MG;585.2;732.9;634.7;756.8;720
2;F;0;3;1;2;0;2;1;0;31;MG;;;;;
11;F;0;3;1;1;9;1;;0;29;BA;522.2;466.8;541.4;642.8;720
4;F;0;3;1;2;0;1;1;0;13;AM;442.8;606.1;495.9;573.2;860
5;F;0;1;1;1;2;1;;0;31;MG;440.3;589.5;535.4;553.9;600
8;M;0;3;1;1;6;1;1;0;50;MS;580.9;656.3;624.3;670.3;660
2;F;0;1;1;2;0;2;1;0;53;DF;604.3;580.2;632.7;443.9;820
6;M;0;3;1;1;2;1;1;0;25;PB;429.4;502.2;437.6;535.1;240
3;F;0;3;1;2;0;2;1;0;27;AL;452.9;476.3;526.2;462.9;360
11;F;0;3;1;1;0;1;;0;35;SP;;;;;
2;F;0;3;1;2;0;1;1;0;25;PB;613.4;645.4;649.5;571.8;700
10;F;0;2;1;1;8;1;;0;29;BA;;481.8;506.5;;400
5;F;0;2;1;1;3;1;1;0;32;ES;568.1;607.1;539.4;662.3;620
3;F;0;1;1;1;1;1;;0;31;MG;606.9;632.1;582.7;631;920
13;F;0;2;1;1;12;1;1;0;29;BA;474.4;623.2;588.3;605.2;720
6;F;0;3;1;1;2;1;1;0;26;PE;678.6;660.8;610.1;798.2;940
10;F;0;1;1;1;7;1;;0;43;RS;;;;;
6;M;0;3;1;1;4;1;;0;29;BA;571.2;650.3;591.6;659.8;760
4;F;;3;1;2;0;1;3;0;25;PB;;;;;
4;M;0;3;1;1;1;1;;0;35;SP;506.7;657.7;555.9;382;520
6;F;0;3;1;1;1;1;1;0;29;BA;453.1;605.5;452.7;537.6;400
12;M;0;3;1;1;12;1;1;0;23;CE;486.6;474.4;520.8;434.8;360
4;F;0;2;1;1;1;1;1;0;26;PE;505.7;585;547.9;473.1;380
3;F;0;1;1;2;0;2;1;0;31;MG;569.5;596.1;583.6;545.6;380
3;F;0;3;1;1;1;1;1;0;53;DF;497.7;609;599.9;459.8;860
4;M;0;3;1;3;0;1;;0;11;RO;370.7;411.1;517.2;449.6;520
12;F;0;2;1;1;12;1;1;0;53;DF;;;;;
3;F;0;3;1;2;0;4;1;0;29;BA;553.6;648.6;593.3;677.3;860
4;M;0;2;1;2;0;4;1;0;29;BA;444.8;663.2;577.7;487.7;680
13;M;1;3;1;1;12;1;1;0;23;CE;;;;;
3;M;0;3;2;1;1;1;1;0;52;GO;510.9;614.6;590.5;614;780
9;M;0;3;1;1;6;1;1;0;24;RN;491.9;631.6;557.2;534.4;600
2;F;0;3;1;1;1;1;1;0;23;CE;531.8;623.1;622.3;635.8;700
7;F;0;3;1;1;4;1;1;0;31;MG;;569.8;553.8;;480
2;F;0;1;1;3;0;1;;1;33;RJ;599.5;631.9;577.3;685.7;680
3;M;0;1;1;1;1;1;1;0;35;SP;516.1;418.5;373.7;521.6;300
3;F;0;4;1;1;2;1;1;0;23;CE;;;;;
3;F;0;3;1;1;1;1;1;0;35;SP;567.6;560.5;503.8;386.8;580
9;M;1;3;1;1;6;1;1;0;23;CE;445.2;509.4;510.6;498;400
6;F;1;3;1;1;3;1;1;0;31;MG;481.3;592.1;516.1;448.7;420
3;F;0;2;1;2;0;2;1;0;29;BA;518;496.9;428.4;396.9;540
3;M;0;2;1;2;0;2;1;0;15;PA;;419.2;395.2;;460
9;F;0;3;1;1;6;1;;0;52;GO;505.4;432.4;469.5;401.7;540
13;F;0;2;1;1;12;1;1;0;22;PI;426.5;446.1;475.8;423.6;440
2;M;0;3;1;3;0;1;;1;23;CE;436.3;640.9;572.9;485;780
5;M;0;1;1;1;2;1;1;0;43;RS;476.5;441.9;490.7;503.2;540
11;F;0;1;1;1;8;1;;0;43;RS;395.6;490.4;420.8;443.9;300
2;M;0;2;1;3;0;1;;1;21;MA;518.4;587.5;561.5;555.3;660
11;M;0;1;1;1;10;1;1;0;42;SC;;;;;
14;M;1;3;1;1;12;1;1;0;31;MG;;;;;
8;F;0;3;1;1;5;1;;0;21;MA;431.3;507.1;490.6;414.6;280
9;M;;1;1;1;1;1;;0;52;GO;;;;;
13;F;;2;1;1;12;1;1;0;31;MG;450.7;564.3;573.8;437.5;520
11;M;0;3;1;1;2;1;;0;29;BA;410.7;478.5;474.2;427.4;420
4;F;0;3;1;1;1;1;1;0;33;RJ;523.2;411.6;506.1;469.4;340
7;F;0;3;2;1;2;1;3;0;52;GO;401.6;529;504.2;404;0
8;M;0;3;1;1;5;1;1;0;11;RO;518.2;607.8;537.4;662.6;640
12;M;0;0;1;1;12;1;;0;29;BA;;657.1;604.4;;620
3;M;0;2;1;2;0;2;1;0;22;PI;616.7;638;531.4;563.8;820
1;F;0;3;1;2;0;2;1;0;24;RN;568.3;604.5;523.7;574.4;320
2;F;0;3;1;2;0;2;1;0;13;AM;489.4;573;483.1;410.8;400
2;F;0;3;1;2;0;2;1;0;33;RJ;465;616.6;548.8;430.3;560
5;M;0;1;1;1;3;1;1;0;31;MG;623.1;705.4;685.8;759.2;740
3;F;0;1;1;1;2;1;;0;43;RS;;;;;
2;F;0;3;2;3;0;1;;1;52;GO;397.1;521.8;480.2;440.6;340
12;F;1;1;1;1;12;1;;0;27;AL;418.8;494.1;506.6;496.6;540
7;F;0;1;1;1;4;1;1;0;35;SP;381.9;575.4;538.9;492.4;300
12;F;0;3;1;1;12;1;;0;29;BA;430.2;526.4;561.4;518.5;500
11;F;1;3;1;2;0;2;3;0;52;GO;;;;;
15;F;0;1;1;1;12;1;1;0;31;MG;506.4;614.5;489.2;404.7;360
8;F;0;2;1;1;1;1;3;0;50;MS;505.5;606.1;494.2;545.8;500
3;M;0;3;1;2;0;2;1;0;29;BA;460.1;579.4;474.3;650.5;480
11;M;0;3;1;1;12;1;1;0;15;PA;;664.3;535.7;;540
3;F;0;3;1;2;0;1;1;0;31;MG;470.8;589.4;473.5;642;400
10;F;;1;1;1;5;1;3;0;11;RO;;;;;
2;M;0;3;1;2;0;2;1;0;31;MG;490.1;449.5;526.2;606.3;340
8;M;0;3;1;1;6;1;1;0;35;SP;435;646.3;611.6;578.3;500
12;F;1;1;1;1;12;1;;0;31;MG;658.3;663.2;636.4;743.5;780
7;F;;3;1;1;6;1;1;0;23;CE;484.5;612.5;594.8;668.6;560
3;F;0;1;1;2;0;2;1;0;42;SC;485.3;609.3;494.9;499.8;600
2;F;0;1;1;2;0;2;1;0;24;RN;430.1;522.6;512.1;423.8;580
2;F;0;2;1;2;0;1;3;0;13;AM;;482.2;506.7;;240
12;F;1;3;1;1;6;1;3;0;41;PR;;;;;
11;F;0;1;1;1;7;1;1;0;33;RJ;;;;;
