TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_UF_PROVA;SG_UF_PROVA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO
1;M;0;2;1;3;0;1;;1;21;MA;455.2;525.7;423.7;469.8;540
4;F;0;2;1;2;0;2;1;0;29;BA;523.6;460.2;539.6;498.3;460
4;F;0;1;2;1;0;1;;0;43;RS;556.4;593.2;547.1;540.7;680
2;F;0;3;1;2;0;1;1;0;11;RO;563.9;528.2;595.4;568.4;800
8;M;0;2;1;1;5;1;1;0;29;BA;404.5;563.7;465.1;517.4;320
5;F;0;1;1;2;0;2;1;0;29;BA;435;517.8;490.6;403;300
3;F;0;3;1;2;0;2;1;0;29;BA;482.4;437.8;408.5;426.9;440
3;M;0;3;1;2;0;2;1;0;15;PA;434.5;637.5;586.7;482.3;540
5;F;1;1;1;1;3;1;;0;41;PR;541.5;629.4;532.8;592.5;620
7;F;0;3;1;1;2;1;1;0;24;RN;400.7;562.4;496.7;557.3;540
4;F;0;1;1;1;2;1;;0;26;PE;406;569.7;487.7;436.5;300
2;M;0;2;1;1;1;1;1;0;12;AC;549.3;648.1;569.7;682.5;900
4;F;0;2;1;1;1;1;;0;31;MG;629.5;696;597.5;731.6;940
3;F;0;2;1;1;1;1;;0;31;MG;569.5;644.6;550.3;572.8;660
4;M;0;3;1;2;0;2;1;0;21;MA;420.3;441;359.6;549.2;360
5;M;0;1;1;1;3;1;1;0;31;MG;486.3;638;632;775.2;560
14;M;1;2;1;1;12;1;;0;53;DF;460.9;514.7;483.5;465.5;360
8;M;0;0;1;1;4;1;3;0;31;MG;595.6;692.7;601;695.6;640
11;F;;3;1;1;1;1;;0;15;PA;370.6;608.3;426.1;396.4;520
6;F;0;1;1;1;3;1;1;0;35;SP;;;;;
2;M;0;3;1;2;0;2;1;0;24;RN;435;610.2;452.9;428.2;600
8;M;1;3;1;1;5;1;1;0;52;GO;;;;;
3;M;0;1;1;1;1;1;;0;24;RN;615.9;647.4;547.5;659.3;560
12;F;0;3;1;1;1;1;;0;51;MT;465.8;534.8;385.2;388.8;320
1;M;0;2;1;3;0;1;;1;21;MA;468.3;470.9;457.2;526;340
3;M;0;3;2;2;0;2;1;0;23;CE;426.9;589.4;511.1;509.9;340
7;F;0;1;1;1;4;1;1;0;26;PE;524.8;549.7;580.1;471.2;580
4;F;0;1;1;1;2;1;1;0;35;SP;485.6;563.8;500.6;537.8;360
11;F;0;2;1;1;9;1;3;0;35;SP;;428.9;482.2;;660
2;F;0;1;1;2;0;2;1;0;35;SP;;;;;
2;M;0;3;1;2;0;2;1;0;23;CE;411.9;515.6;428.5;503.6;640
3;M;0;3;1;1;1;1;1;0;35;SP;461.7;597.5;508.5;430.9;360
14;M;1;3;1;3;0;1;;0;13;AM;;503.8;509.6;;280
15;M;0;3;1;1;0;1;;0;35;SP;502.2;646.7;614;648.4;600
5;F;0;3;1;1;3;1;1;0;31;MG;;;;;
5;F;0;3;1;1;3;1;;0;26;PE;592.5;625.3;589.5;620.2;800
4;F;0;1;1;1;2;1;1;0;35;SP;563.3;629.8;613.6;604.4;640
6;F;1;3;1;1;2;1;1;0;41;PR;;;;;
11;F;0;3;1;1;12;1;1;0;13;AM;;;;;
16;M;2;3;1;1;12;1;;0;52;GO;521.3;539.8;592.3;652.6;680
15;M;;3;1;1;12;1;1;0;29;BA;;;;;
4;F;0;2;1;1;1;1;;0;31;MG;460.6;571.8;512;426.1;260
2;F;0;3;1;3;0;1;;1;23;CE;;417;507.3;;600
12;M;1;2;1;1;12;1;1;0;25;PB;;484.4;498.5;;340
5;M;0;3;1;1;3;1;1;0;16;AP;;;;;
11;F;0;3;1;1;8;1;3;0;35;SP;;;;;
15;M;1;1;1;1;12;1;;0;31;MG;539.6;650.4;594.4;608.4;360
3;F;0;1;1;1;1;1;;0;35;SP;463;609.9;560.6;542.4;540
11;F;1;1;1;1;10;1;1;0;15;PA;;;;;
14;M;1;3;1;1;12;1;3;0;15;PA;537.6;446.8;465.3;464.3;600
5;F;0;3;1;1;2;1;1;0;33;RJ;397.2;469.7;393.6;452.9;0
4;F;0;3;1;1;1;1;1;0;52;GO;567.1;648.1;623.7;602.5;660
