;SC;452;456.7;525.2;408.1;540
2;M;0;2;1;2;0;3;1;0;35;SP;518.9;408.7;466.2;543.5;320
2;F;0;3;1;2;0;1;1;0;25;PB;536.3;651.2;607;531.9;880
2;M;0;1;1;2;0;4;1;0;52;GO;709.4;665.9;659.7;716.2;760
9;M;0;3;1;1;5;1;1;0;24;RN;554.7;581.9;518.9;452.5;320
3;F;0;2;1;1;1;1;1;0;35;SP;460.1;506.2;483.2;393.2;400
4;M;0;2;1;1;1;1;;0;33;RJ;;;;;
11;F;0;3;1;1;12;1;1;0;15;PA;;591.9;511.9;;540
2;F;0;4;1;3;0;1;;1;50;MS;449.9;569.6;470;480.5;460
4;F;0;1;1;1;2;1;;0;29;BA;637.1;672.7;617.9;628.3;680
12;M;1;5;1;1;12;1;3;0;14;RR;;;;;
3;M;0;1;1;2;0;2;1;0;32;ES;552.3;497.8;526.5;401;340
2;M;0;3;1;2;0;2;1;0;53;DF;447.5;559.8;558.9;501.5;640
11;M;0;2;1;1;9;1;1;0;31;MG;471.6;609.8;527.7;459.6;560
8;M;0;1;1;1;2;1;1;0;26;PE;402;477.4;513.7;512.5;300
12;M;0;4;1;1;12;1;1;0;31;MG;495.2;643.7;517.9;452.6;440
2;M;0;3;1;2;0;2;1;0;33;RJ;479;530.6;531.8;600.8;440
4;F;0;3;1;2;0;2;1;0;25;PB;423.4;612.1;558.2;647;660
6;F;0;3;1;1;3;1;;0;53;DF;587.2;694;608.2;649.2;720
2;M;0;3;1;2;0;1;1;0;35;SP;573.2;621.3;573.7;653.3;580
9;M;0;3;1;1;3;1;3;0;13;AM;439.6;574.4;489;441;300
3;F;0;1;1;2;0;2;1;0;42;SC;477.4;627.2;544;501.8;500
4;F;0;3;1;1;1;1;;0;15;PA;489.5;620.4;590.8;494.1;720
2;M;0;1;1;2;0;1;1;0;35;SP;;621.5;525.8;;360
3;F;0;1;1;2;0;4;1;0;33;RJ;692.2;706.7;656.1;845.8;880
1;F;0;3;1;3;0;1;;1;29;BA;493.8;614.6;480.2;600.4;660
8;M;0;1;1;1;1;1;;0;29;BA;;;;;
2;F;0;1;1;2;0;2;1;0;35;SP;391.8;616.4;562.3;497.1;520
2;M;0;3;1;2;0;2;1;0;22;PI;414.4;492.8;473.1;423.2;520
6;F;0;3;1;1;4;1;1;0;35;SP;462.7;602.6;575.1;544.4;600
1;M;0;3;1;3;0;1;;1;31;MG;589.9;679.7;617.8;592.8;360
2;F;0;2;1;2;0;2;1;0;35;SP;446.2;495.4;510;405.7;520
3;F;0;1;1;1;1;1;1;0;35;SP;;;;;
2;F;0;1;1;3;0;1;;1;15;PA;486.1;541.6;508.6;459.3;760
4;M;0;2;1;3;0;1;;0;29;BA;395.8;533.3;421.9;507.3;340
3;F;0;2;1;1;1;1;1;0;29;BA;567.3;635;570.3;463.7;580
4;F;0;1;1;1;2;1;;0;52;GO;696.4;676.4;662.7;777;800
2;M;0;3;1;2;0;2;1;0;23;CE;570.5;563.4;568;543.2;680
6;F;0;2;1;1;4;1;1;0;29;BA;562.8;648.8;617.7;402.9;560
3;F;0;3;1;2;0;2;1;0;31;MG;563;494.9;562.2;446.5;480
11;F;;3;1;1;5;1;;0;29;BA;;;;;
3;F;0;3;1;1;1;1;1;0;25;PB;520.4;616.1;480.6;615.7;540
3;F;0;1;1;1;1;1;1;0;31;MG;546;620.5;610.7;649.7;480
4;F;0;3;1;1;2;1;;0;41;PR;;;;;
3;M;0;3;1;2;0;2;1;0;52;GO;419.8;510.8;454.2;399.8;320
10;F;0;1;1;1;2;1;3;0;31;MG;616.6;703.9;671;680.9;780
3;F;0;3;1;2;0;1;1;0;25;PB;423.5;550.5;458.4;516.5;600
3;F;0;3;1;2;0;4;1;0;31;MG;565.1;637.4;627.2;480;740
11;M;;3;1;1;6;1;3;0;31;MG;421.3;420.2;468.3;495.2;380
6;F;1;3;1;1;1;1;3;0;21;MA;391.7;466.6;541.6;441.4;440
2;M;0;1;1;2;0;4;1;0;42;SC;588.5;611.7;481;514.5;480
2;M;0;3;1;2;0;2;1;0;41;PR;;581.6;493.9;;0
3;F;0;3;1;2;0;2;1;0;35;SP;466.2;485.7;515.7;503.3;480
5;F;0;3;1;1;3;1;1;0;28;SE;620.2;659.8;603.8;768.5;680
11;F;0;3;1;4;0;1;;0;31;MG;;;;;
6;F;0;3;1;1;4;1;1;0;53;DF;;;;;
5;F;0;1;1;1;1;1;1;0;33;RJ;;;;;
10;M;0;1;1;1;1;1;3;0;29;BA;;;;;
2;F;0;3;1;2;0;2;1;0;23;CE;449.5;590.5;509;552.1;700
7;F;0;3;1;1;5;1;1;0;15;PA;;;;;
2;M;0;2;1;2;0;2;1;0;27;AL;435;467.9;526.2;419.4;560
5;M;0;1;1;1;2;1;1;0;52;GO;481.8;578.8;594.1;669.2;440
2;M;;1;1;2;0;4;1;0;42;SC;547.9;625.1;582.9;711.1;600
4;F;0;3;1;1;2;1;1;0;13;AM;379.5;607.5;556.1;533.6;500
1;F;0;1;1;3;0;1;;1;52;GO;386.3;497.4;545.8;694.2;680
11;F;0;1;1;1;12;1;;0;35;SP;694.7;688;611.7;784.3;500
4;F;0;1;1;2;0;2;1;0;33;RJ;504;611.2;581.9;449;360
1;M;0;1;1;3;0;1;;1;41;PR;452;569.5;545.9;642.3;500
6;F;0;3;1;1;4;1;;0;26;PE;489.4;582.7;484.6;590.1;560
2;F;0;1;1;2;0;2;1;0;31;MG;425.1;619.7;497.3;665.7;900
6;F;0;3;1;1;1;1;3;0;53;DF;400.9;448.5;451.5;453;340
10;F;0;3;1;1;8;1;1;0;16;AP;;;;;
6;F;0;2;1;1;4;1;1;0;41;PR;429.4;542.2;526.2;542.9;520
3;F;0;1;1;2;0;2;1;0;41;PR;;;;;
1;F;0;1;1;3;0;1;;1;15;PA;450.9;551.9;606.3;403.6;640
3;F;0;1;1;2;0;2;1;0;35;SP;543.7;546;508.7;489.1;380
1;F;0;1;1;3;0;1;;1;41;PR;381.3;540.1;512.4;387.6;580
9;M;0;3;1;1;7;1;1;0;35;SP;572.4;635.8;585.7;775.7;600
4;F;0;1;1;2;0;4;1;0;13;AM;642.5;648.8;578.9;528.9;940
12;M;0;1;1;1;12;1;1;0;31;MG;444;527.1;508.6;540.2;320
10;F;0;3;1;1;7;1;;0;22;PI;466.4;588.2;546.1;403.9;620
12;F;0;3;1;1;12;1;1;0;21;MA;;429.1;431.4;;400
12;M;;3;1;1;10;1;;0;29;BA;;;;;
10;F;0;2;1;1;7;1;;0;35;SP;450.1;580.7;499.5;512.7;340
5;F;0;2;1;1;1;1;;0;27;AL;450.9;619.1;578.5;537.4;580
3;F;0;3;1;2;0;2;3;0;31;MG;;;;;
2;M;0;1;1;2;0;2;1;0;35;SP;452.4;554.5;567.4;539.3;500
5;F;0;3;1;1;3;1;;0;33;RJ;;;;;
3;F;0;1;1;1;1;1;1;0;35;SP;421.2;446.9;404.4;440.7;300
8;F;0;3;1;1;1;1;;0;33;RJ;449.6;649.1;565.3;685.9;520
5;M;0;2;1;1;3;1;1;0;26;PE;552.5;637.4;623.2;484.3;580
3;F;0;2;1;2;0;2;1;0;53;DF;;425.6;512.2;;580
13;F;1;2;1;1;10;1;3;0;35;SP;;575.1;456.6;;320
7;M;0;3;1;1;3;1;;0;29;BA;469.2;443.8;472.2;435.2;280
2;F;0;2;1;2;0;1;1;0;33;RJ;512.2;618.2;556.6;638.2;560
3;M;0;3;1;2;0;1;3;0;21;MA;447.9;477.7;406;427.2;380
14;M;1;3;1;1;0;1;;0;35;SP;483.7;630.1;414.7;384.5;300
8;F;0;2;1;2;0;2;3;0;25;PB;429.9;595;541.4;458.2;480
12;M;1;2;1;1;12;1;;0;41;PR;;;;;
3;F;0;3;1;2;0;1;1;0;35;SP;483;525.5;528.5;467.4;400
5;F;0;3;1;1;3;1;3;0;35;SP;469.2;592.6;430.9;459.6;540
6;F;0;3;1;1;3;1;;0;52;GO;662;642;589.1;759.9;800
6;F;0;3;1;1;3;1;1;0;31;MG;381;608.8;564;517.1;700
1;F;0;3;1;3;0;1;;1;23;CE;558.9;566;561.1;516.3;660
3;F;0;1;1;2;0;1;1;0;50;MS;501.1;423.2;505.3;449.1;500
15;M;;3;1;1;6;1;;0;16;AP;438.3;595.9;429.1;498;560
6;F;1;3;1;1;4;1;;0;15;PA;441;439.5;502;473;540
1;F;0;1;1;3;0;1;;1;26;PE;443;554.8;503.3;530.3;700
1;F;0;4;1;3;0;1;;1;33;RJ;483.6;570.6;533.8;537.1;400
9;F;0;1;1;1;5;1;;0;29;BA;446.1;621.2;581.3;569.2;420
17;F;1;3;1;1;12;1;;0;32;ES;454.7;643.8;551.7;532.6;380
8;M;0;3;2;1;6;1;;0;35;SP;403.2;494.8;497.7;551.2;320
2;F;0;3;1;2;0;2;1;0;29;BA;550.9;587;436.4;541.7;500
5;F;0;1;1;1;3;1;1;0;35;SP;;555.2;459.1;;360
3;M;0;3;1;1;1;1;1;0;51;MT;558.4;599.9;592.4;497.5;540
4;F;0;3;1;1;2;1;1;0;26;PE;515;551.9;486.9;485.1;360
3;F;0;1;1;1;1;1;;0;35;SP;;;;;
5;F;0;3;1;3;0;1;;0;31;MG;449.4;494.4;502.7;515.3;280
10;F;0;3;1;1;7;1;1;0;21;MA;398.4;416;437.3;551.3;360
12;F;1;3;1;1;12;1;;0;32;ES;;;;;
3;F;0;3;1;1;2;1;1;0;21;MA;457;457.6;473;409.1;660
3;F;0;1;1;2;0;2;1;0;33;RJ;;573.8;591.9;;540
4;F;0;1;1;1;1;1;;0;23;CE;491.2;;;460.9;
6;F;0;1;1;1;1;1;3;0;25;PB;;494.2;456.2;;280
4;F;0;1;1;1;1;1;;0;22;PI;;;;;
2;F;0;3;1;2;0;1;1;0;24;RN;445.8;597.4;510.7;578.6;340
18;F;0;2;1;1;12;1;;0;31;MG;394.2;513.9;504.3;382.1;560
2;M;0;1;1;2;0;2;1;0;35;SP;579.4;628.9;629.2;707.7;680
2;F;0;3;1;2;0;2;1;0;21;MA;413.7;581.2;524.4;486.1;600
2;M;0;3;1;2;0;2;1;0;15;PA;561.5;539.7;615.4;416.3;520
2;F;0;2;1;2;0;2;1;0;35;SP;460;544.1;554.4;617.9;540
5;F;0;3;1;2;0;2;1;0;25;PB;393.6;574.2;474.1;431.4;560
2;M;;1;1;2;0;2;1;0;35;SP;529.3;442.7;425.9;610.5;460
6;F;;3;1;4;0;1;;0;42;SC;;;;;
1;M;0;3;1;2;0;2;1;0;51;MT;560.1;633.6;552.2;664.3;660
4;F;0;3;1;1;2;1;;0;52;GO;596.6;643;570.2;624.4;880
11;F;;1;1;1;7;1;1;0;31;MG;;;;;
9;F;0;2;1;1;6;1;1;0;29;BA;407.6;592.4;517.5;432.3;600
11;F;0;2;1;1;9;1;;0;33;RJ;547.7;660.1;603;614.4;660
8;F;0;3;2;1;3;1;1;0;31;MG;596.3;649.2;545.7;432.3;340
3;M;0;1;1;2;0;4;1;0;51;MT;631.7;691.3;628.3;727.6;840
2;F;0;1;1;2;0;4;1;0;25;PB;453.4;563.8;493.3;496.2;380
11;M;;1;1;1;8;1;1;0;35;SP;;;;;
2;M;0;3;1;2;0;4;1;0;35;SP;463.2;579.2;514.8;675.8;300
11;M;0;3;1;1;8;1;1;0;26;PE;424.6;542.1;459.4;443.8;340
4;F;0;3;1;1;2;1;;0;15;PA;441.5;533;544.4;612.6;580
4;F;0;2;1;1;2;1;1;0;23;CE;426.2;551.8;487.2;521.6;540
1;F;0;2;1;3;0;1;;1;52;GO;;;;;
1;F;0;3;1;3;0;1;;1;16;AP;441;560.3;530.5;581.2;320
11;M;0;1;1;1;7;1;3;0;52;GO;;576.3;429.8;;520
3;M;0;3;1;2;0;2;1;0;23;CE;;;;;
8;F;0;3;1;1;6;1;1;0;29;BA;376.9;577.8;479.1;649.5;480
2;F;0;3;1;2;0;2;1;0;21;MA;433.5;398.7;524;489.3;340
3;F;0;1;1;2;0;2;1;0;43;RS;516.5;618.2;562.4;385.1;580
6;F;0;1;1;1;4;1;1;0;43;RS;565.2;703.1;615.3;694.9;700
2;F;0;4;1;2;0;2;1;0;35;SP;558.7;617.6;637.1;666.9;620
4;F;0;1;1;1;1;1;1;0;43;RS;;;;;
7;F;0;2;1;2;0;2;3;0;28;SE;441.3;419;401.4;557.7;360
2;F;0;3;1;2;0;2;1;0;35;SP;;;;;
2;F;0;0;1;2;0;2;1;0;42;SC;471;675.9;629.9;392.9;640
11;F;0;1;1;1;8;1;1;0;43;RS;414.3;573.5;380.8;385.2;400
7;M;0;3;1;1;4;1;;0;13;AM;633.9;648.2;707.6;584.7;500
11;F;1;1;1;1;11;1;1;0;35;SP;490.2;637.6;618;487.4;600
11;F;0;4;1;4;0;1;;0;28;SE;;;;;
2;F;0;3;1;3;0;1;;1;15;PA;450.6;508.3;387.3;543.6;300
6;M;;0;1;2;0;2;1;0;23;CE;;;;;
2;M;0;3;1;2;0;4;1;0;42;SC;662.4;680.4;614.8;765.2;740
